Time,Jogador,Rating,Colocação
Fortaleza,Matheus Vargas,6.78,281
Bahia,Thaciano,6.78,282
São Paulo,Martín Benítez,6.78,283
Atlético Goianiense,Dudu,6.77,284
Fluminense,Samuel Xavier,6.77,285
Atlético Goianiense,Matheus Barbosa,6.77,286
Palmeiras,Benjamin Kuscevic,6.77,287
Sport Recife,Luciano Juba,6.77,288
Juventude,Marcelo Carné,6.77,289
São Paulo,Luan,6.77,290
São Paulo,Pablo,6.77,291
Santos,Diego Tardelli,6.77,292
Flamengo,Rodinei,6.77,293
Santos,Kaiky,6.77,294
Palmeiras,Rony,6.76,295
Athletico,Erick,6.76,296
Fortaleza,Igor Torres,6.76,297
Sport Recife,Hayner,6.76,298
Chapecoense,Alan Santos,6.76,299
Cuiabá,Felipe Marques,6.76,300
América Mineiro,Rodolfo,6.71,341
América Mineiro,Bruno Nazário,6.71,342
Palmeiras,Wesley,6.71,343
Palmeiras,Patrick de Paula,6.71,344
Athletico,Christian,6.71,345
Juventude,Capixaba,6.71,346
Grêmio,Ruan,6.70,347
Athletico,Léo Cittadini,6.70,348
Red Bull Bragantino,Alerrandro,6.70,349
Fluminense,Nonato,6.70,350
São Paulo,Marquinhos,6.70,351
Bahia,Matheus Galdezani,6.70,352
São Paulo,Gabriel Neves,6.70,353
Juventude,Matheus Jesus,6.70,354
Corinthians,Marquinhos,6.70,355
Atlético Goianiense,Janderson,6.70,356
Grêmio,Diogo Barbosa,6.69,357
Fluminense,Caio Paulista,6.69,358
Juventude,Wagner,6.69,359
Atlético Goianiense,Jonas Toró,6.69,360
Corinthians,Ángelo Araos,6.64,401
Sport Recife,Marcão Silva,6.64,402
São Paulo,Galeano,6.64,403
Corinthians,Vitinho,6.64,404
Ceará,William Oliveira,6.64,405
Corinthians,Luan,6.64,406
Sport Recife,Paulinho Moccelin,6.64,407
Grêmio,Ricardinho,6.64,408
Ceará,Gabriel Dias,6.63,409
Fluminense,Abel Hernández,6.63,410
Internacional,Caio Vidal,6.63,411
Corinthians,Gustavo Silva,6.63,412
Chapecoense,Bruno Silva,6.63,413
Fortaleza,Osvaldo,6.63,414
Internacional,Gabriel Boschilia,6.63,415
Atlético Goianiense,Lucão,6.63,416
Red Bull Bragantino,Pedrinho,6.63,417
Atlético Mineiro,Nathan,6.62,418
Sport Recife,André,6.62,419
Grêmio,Léo Pereira,6.62,420
Bahia,Óscar Ruiz,6.47,461
Fortaleza,Edinho,6.47,462
Athletico,Carlos Eduardo,6.46,463
Bahia,Lucas Araujo,6.43,464
Athletico,Jader,6.37,465
